key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
ProfitLoss,223000,,3381000,
Depreciation,33962000,,31650000,
AmortizationOfFinancingCosts,912000,,904000,
OtherDepreciationAndAmortization,12870000,,7502000,
IncomeLossFromEquityMethodInvestments,176000,,3361000,
EquityMethodInvestmentDividendsOrDistributions,753000,,5208000,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,30852000,,0,
StraightLineRentAdjustmentNet,4165000,,5498000,
IncreaseDecreaseInOperatingAssets,19364000,,12357000,
IncreaseDecreaseInOperatingLiabilities,-703000,,9768000,
NetCashProvidedByUsedInOperatingActivities,62509000,,70318000,
PaymentsToAcquireRealEstate,0,,5559000,
PaymentsForLeasingCostsCommissionsAndTenantImprovements,68376000,,94336000,
ProceedsFromSaleOfPropertyHeldForSale,47787000,,0,
PaymentsToAcquireInterestInJointVenture,2614000,,2973000,
PaymentsForProceedsFromOtherInvestingActivities,-4172000,,1260000,
NetCashProvidedByUsedInInvestingActivities,-19031000,,-104128000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2028000,,2459000,
PaymentsOfDividendsCommonStock,43220000,,39713000,
ProceedsFromMinorityShareholders,5000,,1000,
RepaymentsOfSecuredDebt,82000,,79000,
ProceedsFromLongTermLinesOfCredit,102000000,,80000000,
RepaymentsOfLongTermLinesOfCredit,95000000,,66000000,
PaymentsToMinorityShareholders,113000,,11359000,
NetCashProvidedByUsedInFinancingActivities,-38438000,,-39609000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,5040000,,-73419000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,48884000,43844000,71699000,145118000
InterestPaidCapitalized,2637000,,3981000,
OperatingLeasePayments,868000,,861000,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,200000,,56000,
DividendsPayableCurrentAndNoncurrent,50695000,44201000,44061000,
StockIssuedDuringPeriodValueConversionOfUnits,0,,0,
LiabilitiesAssumed1,0,,1000,
CapitalExpendituresIncurredButNotYetPaid,34731000,,60410000,
TenantImprovementsFundedByTenant,0,,2528000,
WriteOffOfFullyDepreciatedAssets,10940000,,10331000,
