key,2024-03-31,2023-12-31,2023-10-11,2023-09-30,2023-03-31,2022-12-31,2022-09-30
ProfitLoss,-240000000,,,,3096000000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,0,,,,2130000000,,
DepreciationDepletionAndAmortization,22000000,,,,12000000,,
ShareBasedCompensation,147000000,,,,142000000,,
AmortizationOfAcquisitionCosts,231000000,,,,0,,
GainFromPeriodicDistributionFromRetainedSubordinatedInterest,79000000,,,,0,,
IncreaseDecreaseInOperatingCapital,373000000,,,,390000000,,
OtherOperatingActivitiesCashFlowStatement,-206000000,,,,-227000000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1201000000,,,,877000000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,0,,,,-435000000,,
NetCashProvidedByUsedInOperatingActivities,1158000000,,,,486000000,,
PaymentsToAcquirePropertyPlantAndEquipment,159000000,,,,121000000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,8342000000,,,715000000,0,,
ProceedsFromSubordinatedInterest,79000000,,,,15000000,,
PaymentsForProceedsFromOtherInvestingActivities,68000000,,,,76000000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-8490000000,,,,-182000000,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0,,,,3055000000,,
NetCashProvidedByUsedInInvestingActivities,-8489000000,,,,2734000000,,
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,2464000000,,,,-31000000,,
ProceedsFromShortTermDebtMaturingInMoreThanThreeMonths,99000000,,,,395000000,,
RepaymentsOfLongTermDebt,1000000,,,,742000000,,
PaymentsOfDividendsCommonStock,600000000,,,,603000000,,
PaymentsForRepurchaseOfCommonStock,175000000,,,,2000000000,,
PaymentsForRepurchaseOfCommonStockBySubsidiary,129000000,,,,0,,
ProceedsFromPaymentsForOtherFinancingActivities,-45000000,,,,-55000000,,
NetCashProvidedByUsedInFinancingActivities,1613000000,,,,-3036000000,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,-15000000,,,,58000000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-5733000000,,,,242000000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,2318000000,,,8051000000,2046000000,,1804000000
IncreaseDecreaseInReceivables,35000000,,,,63000000,,
IncreaseDecreaseInInventories,46000000,,,,219000000,,
IncreaseDecreaseInOtherCurrentAssets,69000000,,,,-22000000,,
IncreaseDecreaseInAccountsPayable,-46000000,,,,-98000000,,
IncreaseDecreaseInAccruedLiabilities,-177000000,,,,-32000000,,
