key,2024-09-28,2024-07-10,2024-06-29,2023-12-31,2023-09-30,2023-08-14,2023-07-01,2023-01-03,2022-12-31
ProfitLoss,4514000000,,,,4349000000,,,,
Depreciation,852000000,,,,792000000,,,,
AmortizationOfIntangibleAssets,1514000000,,,,1775000000,,,,
IncreaseDecreaseInDeferredIncomeTaxes,1007000000,,,,631000000,,,,
ShareBasedCompensation,222000000,,,,217000000,,,,
OtherNoncashIncomeExpense,-254000000,,,,-441000000,,,,
IncreaseDecreaseInOperatingCapitalExcludingDeferredTaxes,973000000,,,,2260000000,,,,
NetCashProvidedByUsedInOperatingActivities,5377000000,,,,4683000000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,920000000,,,,1074000000,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,40000000,,,,76000000,,,,
ProceedsFromPaymentsForCrossCurrencyInterestRateSwapInterestSettlements,203000000,,,,36000000,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,3132000000,,,,3660000000,,,,
PaymentsToAcquireInvestments,2065000000,,,,200000000,,,,
PaymentsForProceedsFromOtherInvestingActivities,-14000000,,,,-56000000,,,,
NetCashProvidedByUsedInInvestingActivities,-5861000000,,,,-4766000000,,,,
ProceedsFromIssuanceOfLongTermDebt,1204000000,,,,3466000000,,,,
RepaymentsOfLongTermDebt,1107000000,,,,2000000000,,,,
ProceedsFromIssuanceOfCommercialPaper,0,,,,1620000000,,,,
RepaymentsOfCommercialPaper,0,,,,1935000000,,,,
PaymentsForRepurchaseOfCommonStock,3000000000,,,,3000000000,,,,
PaymentsOfDividendsCommonStock,434000000,,,,387000000,,,,
ProceedsFromPaymentsForOtherFinancingActivities,212000000,,,,42000000,,,,
NetCashProvidedByUsedInFinancingActivities,-3126000000,,,,-2194000000,,,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,182000000,,,,-92000000,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-3427000000,,,,-2369000000,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,4670000000,,,8097000000,6168000000,,,,8537000000
