Ticker,LTM Revenue,LTM EBITDA,EBITDA Margin %,EBITDAR / (Int + Rents),(Total Debt + COL) / EBITDAR,(Net Debt + COL) / EBITDAR,(Total Debt + COL) / Total Cap,(FCF + Rents) / (Total Debt + COL),3Y Avg (TD+COL)/EBITDAR,3Y Avg (TD+COL)/Total Cap,3Y Avg (FCF+Rents)/(TD+COL)
Safehold Inc.,714813,117912,16.495503019670878,2.652331105225543,15.160191892134641,15.022824174604935,0.5496703508473832,-0.00818529212400437,11.07365088497856,0.6124889904237127,0.5267251734939428
Elme Communities,241779,80100,33.1294281141042,3.118991561069813,0.0,-0.05424890374127446,0.0,,0.0,0.0,
"STAG Industrial, Inc.",785415,659818,84.00883609302089,2.9289161709186593,3.744219429162908,3.6855647766929143,0.4694319949730764,-0.08280882279590658,3.902588476285791,0.4461781992764964,-0.022777601159870976
KITE REALTY GROUP TRUST,,,,,,,,,,,
WELLTOWER INC.,,,,,,,,,,,
AVERAGE,580669,285943,44.54458907559865,2.900079612404672,6.301470440432516,6.218046682518858,0.3397007819401532,-0.04549705745995548,4.992079787088117,0.352889063233403,0.2519737861670359
MEDIAN,714813,117912,33.1294281141042,2.9289161709186593,3.744219429162908,3.6855647766929143,0.4694319949730764,-0.04549705745995548,3.902588476285791,0.4461781992764964,0.2519737861670359
