Ticker,LTM Revenue,LTM EBITDA,EBITDA Margin %,EBITDAR / (Int + Rents),(Total Debt + COL) / EBITDAR,(Net Debt + COL) / EBITDAR,(Total Debt + COL) / Total Cap,(FCF + Rents) / (Total Debt + COL),3Y Avg (TD+COL)/EBITDAR,3Y Avg (TD+COL)/Total Cap,3Y Avg (FCF+Rents)/(TD+COL)
THERMO FISHER SCIENTIFIC INC.,30857000,9862000,5.836601095375442,1.3541353383458647,1.5652415324819544,-0.7301499167129373,1.1037588097102584,2.385242993969493,2.3870394790281857,0.07564252408457021,2.146805066754164
DANAHER CORP /DE/,22874000,6272000,27.41977791378858,,0.46253188775510207,0.9344706632653061,0.05396406116298969,1.6897621509824199,2.1049546597500526,0.2607174024456791,0.3398145780488732
"AGILENT TECHNOLOGIES, INC.",4700000,1854000,39.4468085106383,18.176470588235293,0.014563106796116505,-0.7766990291262136,0.0044598612487611496,48.592592592592595,1.6222045533835903,0.3422347788357547,0.43755986391232266
IQVIA HOLDINGS INC.,8519000,2097000,24.61556520718394,2.6879432624113475,6.379507475813544,5.614335971855761,0.9994488460213572,0.1613014406838078,4.793206185654231,0.6958254476593363,0.1425789442430171
METTLER TOLEDO INTERNATIONAL INC/,3395796,1201825,37.22133567763328,15.137261977460723,0.0,0.0,-0.0,,0.0,0.0,
AVERAGE,14069159,4257365,26.908017680923912,9.338952791613307,1.6843688005693438,1.0083915378563832,0.4323263156286733,13.20722479455708,2.181480975563212,0.27488403060506805,0.7666896132395943
MEDIAN,8519000,2097000,27.41977791378858,8.912602619936035,0.46253188775510207,0.0,0.05396406116298969,2.0375025724759563,2.1049546597500526,0.2607174024456791,0.38868722098059794
