key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,396573000,,409804000,,,
ReceivablesNetCurrent,976400000,,1012932000,,,
InventoryNet,1101719000,,1132471000,,,
OtherAssetsCurrent,292510000,,269461000,,,
AssetsCurrent,2767244000,,2824668000,,,
PropertyPlantAndEquipmentNet,861577000,,891293000,,,
OperatingLeaseRightOfUseAsset,217469000,,229723000,,,
Goodwill,6453500000,,6447600000,,,
IntangibleAssetsNetExcludingGoodwill,4013096000,,4165317000,,,
InvestmentsAndOtherNoncurrentAssets,482967000,,464903000,,,
Assets,14795866000,,15023533000,,,
DebtCurrent,827967000,,1417915000,,,
AccountsPayableCurrent,510457000,,516588000,,,
ContractWithCustomerLiabilityCurrent,378256000,,375513000,,,
AccruedIncomeTaxesCurrent,46653000,,69567000,,,
AccruedLiabilitiesAndOtherLiabilities,439714000,,502990000,,,
LiabilitiesCurrent,2203047000,,2882573000,,,
LongTermDebtNoncurrent,1823410000,,1895432000,,,
DeferredIncomeTaxLiabilitiesNet,819233000,,836695000,,,
OtherLiabilitiesNoncurrent,697772000,,678642000,,,
Liabilities,5543462000,,6293342000,,,
CommonStockValue,2716000,,2709000,,,
AdditionalPaidInCapitalCommonStock,1210414000,,1168694000,,,
RetainedEarningsAccumulatedDeficit,10459556000,,9940343000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-522393000,,-484942000,,,
TreasuryStockValue,1897889000,,1896613000,,,
StockholdersEquity,-1897889000,-1896925000,-1896613000,8081371000,-1895200000,-1902964000
LiabilitiesAndStockholdersEquity,14795866000,,15023533000,,,
