key,2025-03-31,2024-12-31,2024-11-15,2024-09-30,2024-03-31,2023-12-31,2023-09-30
RevenueFromContractWithCustomerExcludingAssessedTax,-37000000,,,,-36000000,,170000000
CostOfGoodsAndServicesSold,4002000000,,,,4293000000,,
SellingGeneralAndAdministrativeExpense,2506000000,,,,2573000000,,
GainFromPeriodicDistributionFromRetainedSubordinatedInterest,0,,,,79000000,,
OtherDeductionsNet,646000000,,,,781000000,,
InterestIncomeExpenseNonoperatingNet,-50000000,,,,-101000000,,
InterestIncomeOperating,0,,,,62000000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-295000000,,,,-502000000,,
IncomeTaxExpenseBenefit,382000000,,,,178000000,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-240000000,,,,-147000000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,0,,,,-73000000,,
ProfitLoss,-240000000,,,,-147000000,,
NetIncomeLossAttributableToNoncontrollingInterest,-48000000,,,,-8000000,,
NetIncomeLoss,-238000000,,,,-148000000,,
IncomeLossFromContinuingOperations,1070000000,,,,716000000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0,,,,-73000000,,
IncomeLossFromContinuingOperationsPerBasicShare,1.89,,,,1.25,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0,,,,-0.13,,
EarningsPerShareBasic,1.89,,,,1.12,,
IncomeLossFromContinuingOperationsPerDilutedShare,1.88,,,,1.24,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0,,,,-0.12,,
EarningsPerShareDiluted,1.88,,,,1.12,,
WeightedAverageNumberOfSharesOutstandingBasic,565700000,,,,571100000,,
WeightedAverageNumberOfDilutedSharesOutstanding,568200000,,,,573700000,,
