key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
Revenues,9253000,,,9317000,,
PropertyOperatingAndMaintenance,27460000,,,25664000,,
RealEstateTaxesAndInsurance,16241000,,,14115000,,
CostsOfGoodsAndServicesSoldPropertyManagement,4393000,,,3947000,,
GeneralAndAdministrativeExpense,12334000,,,13521000,,
TransformationCosts,0,,,5354000,,
DepreciationAndAmortization,48838000,,,42951000,,
CostsAndExpenses,109266000,,,105552000,,
OperatingIncomeLoss,10350000,,,6856000,,
InterestExpenseNonoperating,18878000,,,13625000,,
GainsLossesOnExtinguishmentOfDebt,0,,,-54000,,
OtherNonoperatingIncome,1410000,,,569000,,
NonoperatingIncomeExpense,-17468000,,,-13110000,,
NetIncomeLoss,-3471000,,,-2611000,,
EarningsPerShareBasic,-0.08,,,-0.07,,
EarningsPerShareDiluted,-0.08,,,-0.07,,
WeightedAverageNumberOfSharesOutstandingBasic,87898000,,,87695000,,
WeightedAverageNumberOfDilutedSharesOutstanding,87910000,,,87741000,,
