key,2024-06-30,2024-03-31,2023-12-31,2023-06-30,2023-03-31,2022-12-31
NetIncomeLoss,-3471000,,,-2611000,,
DepreciationDepletionAndAmortization,48838000,,,42951000,,
ProvisionForDoubtfulAccounts,2548000,,,1512000,,
ShareBasedCompensation,2135000,,,2599000,,
AmortizationOfFinancingCostsAndDiscounts,2117000,,,2101000,,
GainsLossesOnExtinguishmentOfDebt,0,,,-54000,,
GainLossOnLandEasement,1410000,,,0,,
IncreaseDecreaseInOtherOperatingAssets,666000,,,-119000,,
IncreaseDecreaseInOtherOperatingLiabilities,3629000,,,3168000,,
NetCashProvidedByUsedInOperatingActivities,50073000,,,46250000,,
PaymentsForCapitalImprovements,21487000,,,9890000,,
PaymentsToAcquireOtherProductiveAssets,59000,,,293000,,
ProceedsFromLandEasement,3862000,,,0,,
NetCashProvidedByUsedInInvestingActivities,-17684000,,,-10183000,,
ProceedsFromRepaymentsOfLinesOfCredit,-1000000,,,-31000000,,
PaymentsOfDividends,31843000,,,30777000,,
RepaymentsOfUnsecuredDebt,0,,,100000000,,
ProceedsFromIssuanceOfUnsecuredDebt,0,,,125000000,,
PaymentOfFinancingAndStockIssuanceCosts,0,,,844000,,
PaymentsToMinorityShareholders,5000,,,4000,,
ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,0,,,249000,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,187000,,,1350000,,
NetCashProvidedByUsedInFinancingActivities,-33035000,,,-38478000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-646000,,,-2411000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,7892000,,8538000,7441000,,9852000
InterestPaidNet,16140000,,,10495000,,
ChangeInAccruedCapitalImprovementAndDevelopmentCosts,-5339000,,,3395000,,
DividendsPayableCurrentAndNoncurrent,15905000,,15863000,15834000,,
CashAndCashEquivalentsAtCarryingValue,5629000,,5984000,5554000,,
RestrictedCashAndCashEquivalents,2263000,,2554000,1887000,,
